Table 1
#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
191,Timor-Leste,24,,,,24,0,,18,,"1,568","1,191","1,316,689"
192,Grenada,23,,,,22,1,2,204,,"3,516","31,256","112,491"
193,Curaçao,21,,1,,15,5,,128,6,985,"6,004","164,051"
194,New Caledonia,20,,,,19,1,,70,,"7,065","24,762","285,320"
195,Belize,19,,2,,16,1,,48,5,"1,741","4,384","397,127"
196,Laos,19,,,,18,1,,3,,"8,307","1,143","7,268,436"
197,Saint Lucia,19,,,,18,1,,103,,"1,204","6,559","183,575"
198,Dominica,18,,,,16,2,,250,,534,"7,419","71,975"
199,Fiji,18,,,,18,0,,20,,"2,431","2,713","896,032"
200,Saint Kitts and Nevis,15,,,,15,0,,282,,408,"7,673","53,175"
201,Falkland Islands,13,,,,13,0,,"3,744",,535,"1,54,090","3,472"
202,Greenland,13,,,,13,0,,229,,"2,288","40,307","56,764"
203,Turks and Caicos,12,,1,,11,0,,310,26,192,"4,964","38,682"
204,Vatican City,12,,,,12,0,,"14,981",,,,801
205,Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992"
206,Seychelles,11,,,,11,0,,112,,,,"98,309"
207,MS Zaandam,9,,2,,,7,,,,,,
208,Western Sahara,9,,1,,6,2,,15,2,,,"596,267"
209,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,218"
210,Papua New Guinea,8,,,,8,0,,0.9,,"4,646",520,"8,935,183"
211,Caribbean Netherlands,7,,,,7,0,,267,,424,"16,179","26,207"
212,St. Barth,6,,,,6,0,,608,,137,"13,873","9,875"
213,Lesotho,4,,,,2,2,,2,,"1,515",708,"2,141,162"
214,Anguilla,3,,,,3,0,,200,,41,"2,734","14,994"
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796"
"
",,,,,,,,,,,,,
,Total:,"70,93,122","10,926","4,06,222","1,141","34,62,432","32,24,468","53,748",910.0,52.1,,,
